date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:09:28	520/520	---M--	200	added ('OK')	image/svg+xml	etag:%22208-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/business_contact.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/business_contact.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:28	913/913	---M--	200	added ('OK')	image/svg+xml	etag:%22391-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/survey.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/survey.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:28	742/742	---M--	200	added ('OK')	image/svg+xml	etag:%222e6-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/inspection.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/inspection.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:29	833/833	---M--	200	added ('OK')	image/svg+xml	etag:%22341-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/rules.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/rules.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:29	576/576	---M--	200	added ('OK')	image/svg+xml	etag:%22240-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/todo_list.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/todo_list.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:29	435/435	---M--	200	added ('OK')	image/svg+xml	etag:%221b3-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/ratings.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/ratings.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:30	592/592	---M--	200	added ('OK')	image/svg+xml	etag:%22250-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/questions.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/questions.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:30	652/652	---M--	200	added ('OK')	image/svg+xml	etag:%2228c-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/answers.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/answers.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:30	1029/1029	---M--	200	added ('OK')	image/svg+xml	etag:%22405-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/fine_print.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/fine_print.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
08:09:30	823/823	---M--	200	added ('OK')	image/svg+xml	etag:%22337-51c093faae100%22	http://html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/candle_sticks.svg	C:/My%20Web%20Sites/consult2/html.kodesolution.live/s/konsultplus/v5.0/demo/images/flat-color-icons-svg/candle_sticks.svg	(from http://html.kodesolution.live/s/konsultplus/v5.0/demo/shortcode-icon-flat-color-icons.html)
